trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,trial_name,experiment_parameters,task_admc_a1,task_admc_dr,data_checkpoint,data_checkpoint_ind,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,success,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,question_order
html-keyboard-response,20,31514,0.0-7.0-9.0,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,async_data_save,,,,ADMC Framing A1__completed,1.0,1530.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,21,31526,0.0-9.0-0.0-0.0,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,,,,,,,1530.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,
call-function,22,31689,0.0-9.0-1.0,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,,,,,,,1530.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,
instructions,23,34579,0.0-9.0-2.0,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,admc_dr_instructions,,,,,,1530.0,1080.0,"[{'page_index': 0, 'viewing_time': 1905}, {'page_index': 1, 'viewing_time': 983}]",2888.0,,,,,,,,,,,,,False,361.0,,,,,,,
call-function,24,34581,0.0-9.0-3.0,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,,,,,,,1530.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-select,25,35967,0.0-9.0-4.0-0.0,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,admc_dr_trial,,,,,,1530.0,1080.0,,1383.0,,,,,,,,,,,,,False,392.0,,,{'dr1': ['A']},,dr1,0.0,[0]
survey-multi-select,26,37137,0.0-9.0-4.0-0.1,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,admc_dr_trial,,,,,,1530.0,1080.0,,1165.0,,,,,,,,,,,,,False,417.0,,,{'dr2': ['A']},,dr2,0.0,[0]
survey-multi-select,27,38149,0.0-9.0-4.0-0.2,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,admc_dr_trial,,,,,,1530.0,1080.0,,1006.0,,,,,,,,,,,,,False,443.0,,,{'dr3': ['A']},,dr3,0.0,[0]
survey-multi-select,28,39184,0.0-9.0-4.0-0.3,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,admc_dr_trial,,,,,,1530.0,1080.0,,1027.0,,,,,,,,,,,,,False,469.0,,,{'dr4': ['A']},,dr4,0.0,[0]
survey-multi-select,29,40122,0.0-9.0-4.0-0.4,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,admc_dr_trial,,,,,,1530.0,1080.0,,932.0,,,,,,,,,,,,,False,490.0,,,{'dr5': ['A']},,dr5,1.0,[0]
survey-multi-select,30,41135,0.0-9.0-4.0-0.5,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,admc_dr_trial,,,,,,1530.0,1080.0,,1005.0,,,,,,,,,,,,,False,513.0,,,{'dr6': ['A']},,dr6,0.0,[0]
survey-multi-select,31,42642,0.0-9.0-4.0-0.6,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,admc_dr_trial,,,,,,1530.0,1080.0,,1500.0,,,,,,,,,,,,,False,537.0,,,{'dr7': ['A']},,dr7,0.0,[0]
survey-multi-select,32,44487,0.0-9.0-4.0-0.7,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,admc_dr_trial,,,,,,1530.0,1080.0,,1837.0,,,,,,,,,,,,,False,561.0,,,"{'dr8': ['A', 'B']}",,dr8,1.0,[0]
survey-multi-select,33,46632,0.0-9.0-4.0-0.8,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,admc_dr_trial,,,,,,1530.0,1080.0,,2137.0,,,,,,,,,,,,,False,593.0,,,"{'dr9': ['A', 'B', 'C']}",,dr9,1.0,[0]
survey-multi-select,34,49700,0.0-9.0-4.0-0.9,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,admc_dr_trial,,,,,,1530.0,1080.0,,3061.0,,,,,,,,,,,,,False,642.0,,,"{'dr10': ['A', 'B', 'C']}",,dr10,1.0,[0]
call-function,35,49702,0.0-9.0-5.0,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,,,,,,,1530.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,36,53967,0.0-9.0-6.0,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,feedback_ADMC Decision Rules,,,,,,1530.0,1080.0,,4264.0,,,,,,,,,,,,,,,"
                    <p class=""instructions-title"">Feedback?</p>
                    <p>If something went wrong during the last task or you think we can improve it, please leave any and all comments you have here.</p>
                    <div style=""margin-bottom: 3vh"">
                        <textarea id=""task_feedback"" style=""width: 50vw; height: 15vh;""></textarea>
                    </div>
                ",,5678,,,,
call-function,37,53969,0.0-9.0-7.0,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,,,,,,,1530.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,38,53970,0.0-9.0-9.0,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,async_data_save,,,,ADMC Decision Rules__completed,2.0,1530.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,
call-function,39,53971,0.0-11.0,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,,,,,,,1530.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,40,53971,0.0-12.0,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,async_data_save,,,,experiment__completed,3.0,1530.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,
